Product,Quantity Ordered,Price Each,Order Date,Purchase Address
USB-C Charging Cable,2,11.95,4/19/2019 8:46, Dallas
,,,,
Bose SoundSport Headphones,1,99.99,4/7/2019 22:30, Boston
Google Phone,1,600,4/12/2019 14:38, Los Angeles
Wired Headphones,1,11.99,4/12/2019 14:38, Los Angeles
Wired Headphones,1,11.99,4/30/2019 9:27, Los Angeles
USB-C Charging Cable,1,11.95,4/29/2019 13:03, San Francisco
Bose SoundSport Headphones,1,99.99,4/2/2019 7:46, Seattle
USB-C Charging Cable,1,11.95,4/12/2019 10:58, Atlanta
Macbook Pro Laptop,1,1700,4/24/2019 10:38, San Francisco
Wired Headphones,1,11.99,4/8/2019 14:05, Boston
Google Phone,1,600,4/18/2019 17:18, Los Angeles
Lightning Charging Cable,1,14.95,4/15/2019 12:18, Seattle
27in 4K Gaming Monitor,1,389.99,4/16/2019 19:23, Dallas
AA Batteries (4-pack),1,3.84,4/22/2019 15:09, Dallas
Lightning Charging Cable,1,14.95,4/19/2019 14:29, Atlanta
Apple Airpods Headphones,1,150,4/4/2019 20:30, New York City
USB-C Charging Cable,1,11.95,4/27/2019 18:41, San Francisco
Google Phone,1,600,4/3/2019 19:42, Los Angeles
USB-C Charging Cable,1,11.95,4/3/2019 19:42, Los Angeles
AAA Batteries (4-pack),1,2.99,4/27/2019 0:30, New York City
Apple Airpods Headphones,1,150,4/28/2019 11:42, Los Angeles
Apple Airpods Headphones,1,150,4/4/2019 19:25, Dallas
Apple Airpods Headphones,1,150,4/9/2019 23:35, Boston
AA Batteries (4-pack),1,3.84,4/11/2019 10:23, New York City
USB-C Charging Cable,1,11.95,4/5/2019 0:35, Los Angeles
iPhone,1,700,4/9/2019 21:38, Boston
Bose SoundSport Headphones,1,99.99,4/27/2019 12:20, Atlanta
AAA Batteries (4-pack),2,2.99,4/20/2019 12:00, Portland
Flatscreen TV,1,300,4/24/2019 20:39, San Francisco
Bose SoundSport Headphones,1,99.99,4/7/2019 11:31, Boston
Bose SoundSport Headphones,1,99.99,4/7/2019 11:31, Boston
AAA Batteries (4-pack),2,2.99,4/10/2019 17:00, San Francisco
Google Phone,1,600,4/10/2019 17:00, San Francisco
27in FHD Monitor,1,149.99,4/29/2019 19:38, Los Angeles
20in Monitor,1,109.99,4/2/2019 4:00, Seattle
Lightning Charging Cable,1,14.95,4/4/2019 12:23, Atlanta
Google Phone,1,600,4/11/2019 11:46, New York City
Apple Airpods Headphones,1,150,4/21/2019 7:21, Austin
USB-C Charging Cable,1,11.95,4/27/2019 13:04, Los Angeles
Lightning Charging Cable,2,14.95,4/15/2019 13:45, Portland
Wired Headphones,1,11.99,4/17/2019 23:04, San Francisco
Wired Headphones,3,11.99,4/2/2019 9:11, Los Angeles
Apple Airpods Headphones,1,150,4/27/2019 20:11, Dallas
USB-C Charging Cable,1,11.95,4/19/2019 13:39, San Francisco
AAA Batteries (4-pack),2,2.99,4/21/2019 20:33, San Francisco
Lightning Charging Cable,1,14.95,4/11/2019 15:25, New York City
27in 4K Gaming Monitor,1,389.99,4/30/2019 15:54, Boston
USB-C Charging Cable,1,11.95,4/2/2019 22:32, Los Angeles
Lightning Charging Cable,1,14.95,4/30/2019 9:39, Dallas
USB-C Charging Cable,1,11.95,4/1/2019 7:46, San Francisco
USB-C Charging Cable,1,11.95,4/2/2019 10:57, San Francisco
USB-C Charging Cable,1,11.95,4/15/2019 16:29, San Francisco
LG Dryer,1,600,4/21/2019 14:16, San Francisco
AAA Batteries (4-pack),2,2.99,4/18/2019 12:11, Boston
iPhone,1,700,4/11/2019 12:01, San Francisco
Apple Airpods Headphones,1,150,4/11/2019 16:59, Austin
AAA Batteries (4-pack),1,2.99,4/26/2019 0:40, Dallas
Bose SoundSport Headphones,1,99.99,4/30/2019 13:16, San Francisco
Apple Airpods Headphones,1,150,4/4/2019 19:48, Seattle
USB-C Charging Cable,2,11.95,4/26/2019 18:58, New York City
AA Batteries (4-pack),1,3.84,4/7/2019 21:01, San Francisco
Lightning Charging Cable,1,14.95,4/30/2019 10:35, Dallas
USB-C Charging Cable,1,11.95,4/5/2019 20:40, San Francisco
Apple Airpods Headphones,1,150,4/25/2019 8:03, Portland
Lightning Charging Cable,2,14.95,4/18/2019 21:44, San Francisco
Flatscreen TV,1,300,4/16/2019 18:37, Los Angeles
USB-C Charging Cable,1,11.95,4/17/2019 10:39, Los Angeles
Lightning Charging Cable,1,14.95,4/11/2019 16:09, Boston
AA Batteries (4-pack),1,3.84,4/11/2019 20:16, San Francisco
27in FHD Monitor,1,149.99,4/20/2019 23:51, Atlanta
AA Batteries (4-pack),1,3.84,4/28/2019 10:44, Seattle
AAA Batteries (4-pack),2,2.99,4/24/2019 19:00, San Francisco
Bose SoundSport Headphones,1,99.99,4/1/2019 21:40, Boston
Wired Headphones,1,11.99,4/21/2019 14:57, Atlanta
Lightning Charging Cable,2,14.95,4/15/2019 4:03, Dallas
USB-C Charging Cable,1,11.95,4/24/2019 11:56, San Francisco
Google Phone,1,600,4/10/2019 5:01, San Francisco
USB-C Charging Cable,1,11.95,4/13/2019 18:48, San Francisco
AAA Batteries (4-pack),1,2.99,4/14/2019 14:28, San Francisco
ThinkPad Laptop,1,999.99,4/23/2019 14:03, Los Angeles
Lightning Charging Cable,1,14.95,4/10/2019 8:00, Atlanta
Vareebadd Phone,1,400,4/26/2019 9:55, San Francisco
AA Batteries (4-pack),1,3.84,4/30/2019 20:37, Boston
AAA Batteries (4-pack),1,2.99,4/17/2019 10:03, New York City
USB-C Charging Cable,1,11.95,4/20/2019 8:33, Boston
Macbook Pro Laptop,1,1700,4/28/2019 16:14, San Francisco
Wired Headphones,2,11.99,4/27/2019 22:54, San Francisco
Lightning Charging Cable,1,14.95,4/25/2019 21:36, Boston
AA Batteries (4-pack),1,3.84,4/17/2019 18:38, Portland
Macbook Pro Laptop,1,1700,4/27/2019 21:32, Boston
USB-C Charging Cable,1,11.95,4/23/2019 2:09, Los Angeles
AAA Batteries (4-pack),3,2.99,4/26/2019 18:38, Dallas
Macbook Pro Laptop,1,1700,4/22/2019 7:14, Portland
Google Phone,1,600,4/21/2019 19:40, Los Angeles
27in FHD Monitor,1,149.99,4/24/2019 1:17, Portland
